item,itemLabel,itemDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision
Q16404378,Aavo Mölder,Estonian politician,Q6581097,male,1944-01-01T00:00:00Z,9,,
Q14772678,Ado Anderkopp,Estonian politician,Q6581097,male,1894-01-18T00:00:00Z,11,1941-07-30T00:00:00Z,11
Q300781,Ado Birk,Estonian politician,Q6581097,male,1883-11-14T00:00:00Z,11,1942-02-02T00:00:00Z,11
Q106199628,Ain Saarmann,Estonian politician,Q6581097,male,1939-04-06T00:00:00Z,11,,
Q9142838,Ain Seppik,Estonian politician,Q6581097,male,1952-03-12T00:00:00Z,11,,
Q12358481,Aivar Sõerd,Estonian politician,Q6581097,male,1964-11-22T00:00:00Z,11,,
Q16403066,Aksel Mark,Estonian politician,Q6581097,male,1913-06-20T00:00:00Z,11,2014-06-17T00:00:00Z,11
Q16405586,Alar Laneman,Estonian politician,Q6581097,male,1962-05-06T00:00:00Z,11,,
Q16406128,Aldo Tamm,Estonian politician,Q6581097,male,1953-09-23T00:00:00Z,11,,
Q329463,Aleksander Hellat,Estonian politician (1881-1943),Q6581097,male,1881-08-20T00:00:00Z,11,1943-11-28T00:00:00Z,11
Q2011942,Aleksander Jaakson,Estonian general and Minister of Education,Q6581097,male,1892-01-29T00:00:00Z,11,1942-10-02T00:00:00Z,11
Q12358705,Aleksander Oinas,Estonian politician,Q6581097,male,1887-12-28T00:00:00Z,11,1942-03-03T00:00:00Z,11
Q1978440,Aleksander Tõnisson,Estonian general,Q6581097,male,1875-04-17T00:00:00Z,11,1941-06-30T00:00:00Z,11
Q12358763,Aleksander Veiderma,Estonian politician,Q6581097,male,1888-04-07T00:00:00Z,11,1972-02-23T00:00:00Z,11
Q888932,Aleksander Warma,Estonian politician (1890-1970),Q6581097,male,1890-06-22T00:00:00Z,11,1970-12-23T00:00:00Z,11
Q16404352,Alfred Mõttus,Estonian politician,Q6581097,male,1886-09-12T00:00:00Z,11,1942-10-04T00:00:00Z,11
Q28465143,Andi Meister,Estonian road engineer and politician,Q6581097,male,1938-11-17T00:00:00Z,11,,
Q15888056,Andra Veidemann,Estonian politician,Q6581072,female,1955-07-18T00:00:00Z,11,,
Q13234758,Andres Anvelt,Estonian politician,Q6581097,male,1969-09-30T00:00:00Z,11,,
Q375400,Andres Lipstok,"Estonian politician, chairman of the Bank of Estonia",Q6581097,male,1957-02-06T00:00:00Z,11,,
Q62975823,Andres Sutt,Estonian politician,Q6581097,male,1967-11-11T00:00:00Z,11,,
Q463099,Andres Tarand,Prime Minister of Estonia,Q6581097,male,1940-01-11T00:00:00Z,11,,
Q12359190,Andres Varik,Estonian politician,Q6581097,male,1952-04-07T00:00:00Z,11,,
Q57640,Andrus Ansip,Estonian chemist and politician,Q6581097,male,1956-10-01T00:00:00Z,11,,
Q514511,Andrus Öövel,Estonian politician,Q6581097,male,1957-10-17T00:00:00Z,11,,
Q15983657,Anne Sulling,Estonian politician,Q6581072,female,1976-10-12T00:00:00Z,11,,
Q22041600,Anneli Ott,Estonian politician,Q6581072,female,1976-05-02T00:00:00Z,11,,
Q16406658,Anton Teetsov,Estonian politician,Q6581097,male,1889-11-21T00:00:00Z,11,1941-08-19T00:00:00Z,11
Q76445785,Ants Leemets,Estonian politician,Q6581097,male,1950-06-23T00:00:00Z,11,2019-11-23T00:00:00Z,11
Q887682,Ants Piip,Prime Minister of Estonia,Q6581097,male,1884-02-28T00:00:00Z,11,1942-10-01T00:00:00Z,11
Q695262,Arnold Green,Estonian politician (1920-2011),Q6581097,male,1920-08-30T00:00:00Z,11,2011-11-04T00:00:00Z,11
Q382608,Arnold Susi,Estonian writer (1896-1968),Q6581097,male,1896-01-04T00:00:00Z,11,1968-05-29T00:00:00Z,11
Q616356,Arto Aas,Estonian politician,Q6581097,male,1980-06-09T00:00:00Z,11,,
Q12359706,Artur Tupits,Estonian politician,Q6581097,male,1892-10-08T00:00:00Z,11,1941-10-28T00:00:00Z,11
Q78076303,Arvo Aller,Estonian politician,Q6581097,male,1973-07-28T00:00:00Z,11,,
Q717470,Arvo Niitenberg,Estonian politician (1934-2003),Q6581097,male,1934-09-27T00:00:00Z,11,2003-07-16T00:00:00Z,11
Q12359937,August Jürima,Estonian politician,Q6581097,male,1887-01-01T00:00:00Z,9,1942-08-15T00:00:00Z,11
Q390919,August Kerem,Estonian politician,Q6581097,male,1889-10-01T00:00:00Z,11,1942-05-28T00:00:00Z,11
Q762413,August Koern,Estonian politician,Q6581097,male,1900-04-27T00:00:00Z,11,1989-01-11T00:00:00Z,11
Q16407072,August Peet,Estonian politician,Q6581097,male,1881-01-01T00:00:00Z,9,,
Q725322,August Rei,Estonian politician (1886-1963),Q6581097,male,1886-03-22T00:00:00Z,11,1963-03-29T00:00:00Z,11
Q12360291,Bernhard Roostfeld,Estonian politician,Q6581097,male,1885-01-05T00:00:00Z,11,1948-01-28T00:00:00Z,11
Q3539685,Christian Kaarna,Estonian politician,Q6581097,male,1882-10-20T00:00:00Z,11,1943-01-01T00:00:00Z,11
Q355241,Edgar Savisaar,Estonian politician,Q6581097,male,1950-05-31T00:00:00Z,11,,
Q450523,Eiki Nestor,Estonian politician,Q6581097,male,1953-09-05T00:00:00Z,11,,
Q2063457,Eldar Efendijev,Estonian politician,Q6581097,male,1954-06-29T00:00:00Z,11,,
Q1332782,Elmar Lipping,Estonian politician (1906-1994),Q6581097,male,1906-03-07T00:00:00Z,11,1994-01-05T00:00:00Z,11
Q1340315,Endel Lippmaa,Estonian politician (1930-2015),Q6581097,male,1930-09-15T00:00:00Z,11,2015-07-30T00:00:00Z,11
Q16407419,Enn Tupp,Estonian politician,Q6581097,male,1941-10-30T00:00:00Z,11,,
Q12362302,Ernst Ein,Estonian politician,Q6581097,male,1898-12-28T00:00:00Z,11,1956-10-16T00:00:00Z,11
Q16407915,Ervin Jüri Nõmmera,,Q6581097,male,1900-12-08T00:00:00Z,11,1988-11-12T00:00:00Z,11
Q293175,Ester Tuiksoo,Estonian politician,Q6581072,female,1965-03-05T00:00:00Z,11,,
Q105069608,Eva-Maria Liimets,Estonian politician,Q6581072,female,1974-05-31T00:00:00Z,11,,
Q10997036,Ferdinand Eisen,,Q6581097,male,1914-11-17T00:00:00Z,11,2000-10-31T00:00:00Z,11
Q571670,Friedrich Akel,Estonian diplomat and politician (1871-1941),Q6581097,male,1871-09-05T00:00:00Z,11,1941-07-03T00:00:00Z,11
Q12362779,Friedrich Sauer,Estonian politician,Q6581097,male,1881-11-25T00:00:00Z,11,1927-10-27T00:00:00Z,11
Q1569349,Hain Rebas,Estonian politician and historian,Q6581097,male,1943-01-23T00:00:00Z,11,,
Q17446918,Hannes Hanso,Estonian politician,Q6581097,male,1971-10-06T00:00:00Z,11,,
Q1399218,Hanno Pevkur,Estonian politician,Q6581097,male,1977-04-02T00:00:00Z,11,,
